m_id,sensor_uuid,co2,temperature,humidity,distance,movements,measure_timestamp,insert_timestamp
184692,6f2445f6-a867-4125-a738-dc6fb3223755,509.908,23.1361,32.9514,1.57852,0,,2021-04-19T13:59:00.893Z
184694,daa63802-cd45-4a4a-938d-9d259fb11ae2,1335.49,26.8826,36.7508,2.10469,0,,2021-04-19T13:59:15.706Z
184699,d51f3181-9500-418f-8a98-6627fbc63a20,544.916,24.3244,27.3117,50.5118,0,,2021-04-19T13:59:39.968Z
184704,6f2445f6-a867-4125-a738-dc6fb3223755,513.496,23.1495,32.9681,1.57828,0,,2021-04-19T14:00:11.815Z
184705,d51f3181-9500-418f-8a98-6627fbc63a20,544.706,24.3084,27.3697,92.6049,0,,2021-04-19T14:00:14.146Z
184706,daa63802-cd45-4a4a-938d-9d259fb11ae2,1337.63,26.8826,36.7645,2.10469,0,,2021-04-19T14:00:23.922Z
184707,6f2445f6-a867-4125-a738-dc6fb3223755,513.279,23.1361,32.9514,1.57852,0,,2021-04-19T14:00:29.615Z
184709,daa63802-cd45-4a4a-938d-9d259fb11ae2,1338.21,26.8692,36.7493,2.10469,0,,2021-04-19T14:00:42.220Z
184717,6f2445f6-a867-4125-a738-dc6fb3223755,512.086,23.1361,32.9361,1.57852,0,,2021-04-19T14:01:22.755Z
184720,6f2445f6-a867-4125-a738-dc6fb3223755,511.097,23.1495,32.9834,1.57852,0,,2021-04-19T14:01:40.558Z
184722,d51f3181-9500-418f-8a98-6627fbc63a20,545.604,24.3084,27.2202,51.038,0,,2021-04-19T14:01:56.663Z
184730,daa63802-cd45-4a4a-938d-9d259fb11ae2,1334.85,26.8692,36.8179,2.10469,0,,2021-04-19T14:02:46.646Z
184736,d51f3181-9500-418f-8a98-6627fbc63a20,540.825,24.3084,27.2659,51.038,0,,2021-04-19T14:03:21.664Z
184738,6f2445f6-a867-4125-a738-dc6fb3223755,505.783,23.1361,32.9514,1.57852,0,,2021-04-19T14:03:26.679Z
184745,d51f3181-9500-418f-8a98-6627fbc63a20,539.674,24.3378,27.2827,51.038,0,,2021-04-19T14:04:12.976Z
184750,6f2445f6-a867-4125-a738-dc6fb3223755,549.979,23.1495,33.2535,1.57852,0,,2021-04-19T14:04:37.682Z
184751,d51f3181-9500-418f-8a98-6627fbc63a20,541.359,24.3511,27.3575,51.5642,0,,2021-04-19T14:04:47.156Z
184753,6f2445f6-a867-4125-a738-dc6fb3223755,568.808,23.1361,33.3344,1.57852,0,,2021-04-19T14:04:55.480Z
184757,d51f3181-9500-418f-8a98-6627fbc63a20,539.972,24.3378,27.2232,93.6575,0,,2021-04-19T14:05:21.354Z
184761,daa63802-cd45-4a4a-938d-9d259fb11ae2,1341.57,26.8105,36.8378,2.10469,0,,2021-04-19T14:05:47.274Z
184767,daa63802-cd45-4a4a-938d-9d259fb11ae2,1339.89,26.8399,36.8683,2.10469,0,,2021-04-19T14:06:23.523Z
184770,daa63802-cd45-4a4a-938d-9d259fb11ae2,1338.69,26.8265,36.8515,2.10469,0,,2021-04-19T14:06:41.176Z
184774,6f2445f6-a867-4125-a738-dc6fb3223755,598.103,23.1495,33.5083,1.57852,0,,2021-04-19T14:06:59.513Z
184776,6f2445f6-a867-4125-a738-dc6fb3223755,599.412,23.1361,33.4915,1.57828,0,,2021-04-19T14:07:17.320Z
184777,daa63802-cd45-4a4a-938d-9d259fb11ae2,1336.51,26.8105,36.8927,2.10469,0,,2021-04-19T14:07:17.606Z
184778,d51f3181-9500-418f-8a98-6627fbc63a20,541.008,24.3084,27.2369,52.0903,0,,2021-04-19T14:07:20.551Z
184783,daa63802-cd45-4a4a-938d-9d259fb11ae2,1333.59,26.7838,36.9293,2.10469,0,,2021-04-19T14:07:53.857Z
184784,d51f3181-9500-418f-8a98-6627fbc63a20,540.879,24.3378,27.2385,52.0901,0,,2021-04-19T14:07:54.757Z
184788,daa63802-cd45-4a4a-938d-9d259fb11ae2,1333.73,26.7704,36.9431,2.10469,0,,2021-04-19T14:08:28.032Z
184790,d51f3181-9500-418f-8a98-6627fbc63a20,540.987,24.2924,27.2781,52.0904,0,,2021-04-19T14:08:28.954Z
184791,6f2445f6-a867-4125-a738-dc6fb3223755,615.153,23.1495,33.7463,1.57852,0,,2021-04-19T14:08:45.730Z
184794,d51f3181-9500-418f-8a98-6627fbc63a20,539.629,24.3084,27.2934,51.5642,0,,2021-04-19T14:09:03.160Z
184796,daa63802-cd45-4a4a-938d-9d259fb11ae2,1334.5,26.7544,36.9522,2.10469,0,,2021-04-19T14:09:03.681Z
184800,d51f3181-9500-418f-8a98-6627fbc63a20,540.967,24.3084,27.1774,51.038,0,,2021-04-19T14:09:36.972Z
184802,6f2445f6-a867-4125-a738-dc6fb3223755,624.666,23.1628,33.812,1.57852,0,,2021-04-19T14:09:39.121Z
184804,daa63802-cd45-4a4a-938d-9d259fb11ae2,1333.42,26.725,36.9644,2.10469,0,,2021-04-19T14:09:56.199Z
184808,d51f3181-9500-418f-8a98-6627fbc63a20,541.612,24.3084,27.2507,51.5642,0,,2021-04-19T14:10:28.267Z
184816,6f2445f6-a867-4125-a738-dc6fb3223755,624.98,23.1495,33.8242,1.57852,1,,2021-04-19T14:11:07.877Z
184818,daa63802-cd45-4a4a-938d-9d259fb11ae2,1336.73,26.725,37.0331,2.10446,0,,2021-04-19T14:11:24.165Z
184822,6f2445f6-a867-4125-a738-dc6fb3223755,627.436,23.1495,33.8837,1.57852,0,,2021-04-19T14:11:42.875Z
184823,d51f3181-9500-418f-8a98-6627fbc63a20,542.621,24.2924,27.2064,53.1427,0,,2021-04-19T14:11:53.753Z
184827,daa63802-cd45-4a4a-938d-9d259fb11ae2,1336.22,26.6957,37.0575,2.10446,0,,2021-04-19T14:12:18.673Z
184828,6f2445f6-a867-4125-a738-dc6fb3223755,625.173,23.1762,33.8531,1.57852,0,,2021-04-19T14:12:18.701Z
184833,6f2445f6-a867-4125-a738-dc6fb3223755,628.56,23.1495,34.0118,1.57852,0,,2021-04-19T14:12:53.769Z
184836,6f2445f6-a867-4125-a738-dc6fb3223755,631.549,23.1495,33.9676,1.57852,0,,2021-04-19T14:13:11.786Z
184837,daa63802-cd45-4a4a-938d-9d259fb11ae2,1335.69,26.669,37.1078,2.10469,0,,2021-04-19T14:13:12.729Z
184838,d51f3181-9500-418f-8a98-6627fbc63a20,541.983,24.2496,27.3941,51.5642,0,,2021-04-19T14:13:18.779Z
184841,d51f3181-9500-418f-8a98-6627fbc63a20,543.106,24.263,27.9892,51.5642,0,,2021-04-19T14:13:35.855Z
184842,6f2445f6-a867-4125-a738-dc6fb3223755,658.928,23.1762,34.0439,1.57852,0,,2021-04-19T14:13:47.193Z
184844,d51f3181-9500-418f-8a98-6627fbc63a20,545.518,24.2496,28.2394,50.5118,0,,2021-04-19T14:13:52.972Z
184848,6f2445f6-a867-4125-a738-dc6fb3223755,663.199,23.1628,33.9569,1.57829,0,,2021-04-19T14:14:22.705Z
184856,d51f3181-9500-418f-8a98-6627fbc63a20,559.762,24.2229,28.9627,50.5118,0,,2021-04-19T14:15:01.381Z
184858,d51f3181-9500-418f-8a98-6627fbc63a20,565.922,24.2069,29.3015,51.5642,0,,2021-04-19T14:15:18.486Z
184865,daa63802-cd45-4a4a-938d-9d259fb11ae2,1341.24,26.5835,37.2086,2.10469,0,,2021-04-19T14:15:55.261Z
184867,d51f3181-9500-418f-8a98-6627fbc63a20,583.87,24.2229,29.4678,52.0901,0,,2021-04-19T14:16:09.785Z
184868,daa63802-cd45-4a4a-938d-9d259fb11ae2,1344.06,26.5702,37.2345,2.63086,0,,2021-04-19T14:16:13.392Z
184872,d51f3181-9500-418f-8a98-6627fbc63a20,587.394,24.2229,29.5853,49.9857,0,,2021-04-19T14:16:43.460Z
184873,6f2445f6-a867-4125-a738-dc6fb3223755,678.82,23.1762,34.201,1.57852,0,,2021-04-19T14:16:44.329Z
184874,daa63802-cd45-4a4a-938d-9d259fb11ae2,1355.19,26.5835,37.3444,2.10469,0,,2021-04-19T14:16:49.135Z
184878,d51f3181-9500-418f-8a98-6627fbc63a20,590.156,24.2229,29.7775,91.5526,0,,2021-04-19T14:17:17.672Z
184879,6f2445f6-a867-4125-a738-dc6fb3223755,682.575,23.1922,34.2606,1.57852,0,,2021-04-19T14:17:19.939Z
184884,d51f3181-9500-418f-8a98-6627fbc63a20,595.735,24.2363,29.9286,52.0903,0,,2021-04-19T14:17:52.049Z
184885,6f2445f6-a867-4125-a738-dc6fb3223755,684.023,23.1762,34.1583,1.57829,0,,2021-04-19T14:17:55.250Z
184886,daa63802-cd45-4a4a-938d-9d259fb11ae2,1410.24,26.5541,37.4237,2.10469,0,,2021-04-19T14:18:01.799Z
184887,d51f3181-9500-418f-8a98-6627fbc63a20,596.632,24.263,29.8111,53.6689,0,,2021-04-19T14:18:09.157Z
184888,6f2445f6-a867-4125-a738-dc6fb3223755,684.005,23.1628,34.2285,1.57852,0,,2021-04-19T14:18:12.746Z
184890,d51f3181-9500-418f-8a98-6627fbc63a20,597.95,24.279,29.8279,50.5118,0,,2021-04-19T14:18:26.301Z
184893,d51f3181-9500-418f-8a98-6627fbc63a20,599.84,24.263,29.6951,51.5642,0,,2021-04-19T14:18:42.852Z
184894,6f2445f6-a867-4125-a738-dc6fb3223755,686.258,23.1628,34.2285,1.57852,0,,2021-04-19T14:18:48.390Z
184898,d51f3181-9500-418f-8a98-6627fbc63a20,598.891,24.2496,29.7058,51.038,0,,2021-04-19T14:19:17.056Z
184900,d51f3181-9500-418f-8a98-6627fbc63a20,597.859,24.263,29.8431,51.5642,0,,2021-04-19T14:19:34.151Z
184901,daa63802-cd45-4a4a-938d-9d259fb11ae2,1414.66,26.5141,37.4054,2.63086,0,,2021-04-19T14:19:35.975Z
184905,6f2445f6-a867-4125-a738-dc6fb3223755,691.19,23.1762,34.2865,1.57852,0,,2021-04-19T14:19:59.296Z
184907,daa63802-cd45-4a4a-938d-9d259fb11ae2,1417.71,26.4714,37.3871,2.10469,0,,2021-04-19T14:20:12.089Z
