M_ID,SENSOR_UUID,CO2,TEMPERATURE,HUMIDITY,DISTANCE,MOVEMENTS,MEASURE_TIMESTAMP,INSERT_TIMESTAMP
959563,d51f3181-9500-418f-8a98-6627fbc63a20,417.325,21.4725,62.4786,5.26148,0,,2021-06-21 00:00:22.847430
959565,d51f3181-9500-418f-8a98-6627fbc63a20,416.46,21.4458,62.5381,5.7879,0,,2021-06-21 00:00:56.977007
959568,d51f3181-9500-418f-8a98-6627fbc63a20,417.03,21.4164,62.4268,5.7879,0,,2021-06-21 00:01:47.947193
959570,d51f3181-9500-418f-8a98-6627fbc63a20,418.352,21.4164,62.4146,5.26172,0,,2021-06-21 00:02:21.913270
959573,d51f3181-9500-418f-8a98-6627fbc63a20,419.417,21.4031,62.4557,5.26172,0,,2021-06-21 00:03:13.425260
959574,d51f3181-9500-418f-8a98-6627fbc63a20,420.64,21.3897,62.442,5.78765,0,,2021-06-21 00:03:30.906048
959578,d51f3181-9500-418f-8a98-6627fbc63a20,422.399,21.3603,62.4817,5.26172,1,,2021-06-21 00:04:38.348173
959585,d51f3181-9500-418f-8a98-6627fbc63a20,421.387,21.3603,62.767,5.78767,0,,2021-06-21 00:06:37.855788
959588,d51f3181-9500-418f-8a98-6627fbc63a20,420.741,21.3603,62.8403,5.78765,0,,2021-06-21 00:07:29.355515
959594,d51f3181-9500-418f-8a98-6627fbc63a20,428.415,21.347,62.9028,5.78767,0,,2021-06-21 00:09:11.524966
959598,d51f3181-9500-418f-8a98-6627fbc63a20,432.083,21.347,63.0402,6.31407,0,,2021-06-21 00:10:19.560869
959600,d51f3181-9500-418f-8a98-6627fbc63a20,432.611,21.3603,63.031,5.26148,0,,2021-06-21 00:10:53.547133
959608,d51f3181-9500-418f-8a98-6627fbc63a20,425.613,21.3897,63.2614,6.31407,0,,2021-06-21 00:13:10.055160
959613,d51f3181-9500-418f-8a98-6627fbc63a20,423.169,21.3737,63.3209,5.78767,0,,2021-06-21 00:14:35.548809
959614,d51f3181-9500-418f-8a98-6627fbc63a20,424.029,21.4031,63.4018,5.26172,0,,2021-06-21 00:14:52.550827
959619,d51f3181-9500-418f-8a98-6627fbc63a20,427.239,21.3897,63.4201,5.78767,0,,2021-06-21 00:16:17.556706
959622,d51f3181-9500-418f-8a98-6627fbc63a20,433.531,21.4031,63.2736,5.7879,0,,2021-06-21 00:17:09.016191
959627,d51f3181-9500-418f-8a98-6627fbc63a20,436.674,21.4591,63.1454,5.26172,0,,2021-06-21 00:18:34.079233
959628,d51f3181-9500-418f-8a98-6627fbc63a20,437.105,21.4591,63.031,5.7879,0,,2021-06-21 00:18:51.064397
959632,d51f3181-9500-418f-8a98-6627fbc63a20,432.653,21.4885,62.7258,5.7879,0,,2021-06-21 00:19:59.026299
959633,d51f3181-9500-418f-8a98-6627fbc63a20,431.776,21.5019,62.6022,5.78767,0,,2021-06-21 00:20:16.533079
959634,d51f3181-9500-418f-8a98-6627fbc63a20,430.241,21.5019,62.5793,5.78767,0,,2021-06-21 00:20:33.570639
959637,d51f3181-9500-418f-8a98-6627fbc63a20,426.393,21.5152,62.6663,5.7879,0,,2021-06-21 00:21:24.510887
959640,d51f3181-9500-418f-8a98-6627fbc63a20,425.257,21.5152,62.8494,5.78765,0,,2021-06-21 00:22:15.537764
959644,d51f3181-9500-418f-8a98-6627fbc63a20,422.943,21.5312,62.9044,5.26172,0,,2021-06-21 00:23:24.043026
959647,d51f3181-9500-418f-8a98-6627fbc63a20,422.016,21.5152,63.0508,5.7879,0,,2021-06-21 00:24:15.551861
959648,d51f3181-9500-418f-8a98-6627fbc63a20,420.879,21.5312,63.0417,5.26172,0,,2021-06-21 00:24:32.027381
959649,d51f3181-9500-418f-8a98-6627fbc63a20,421.635,21.5152,63.0508,5.26172,0,,2021-06-21 00:24:49.043920
959651,d51f3181-9500-418f-8a98-6627fbc63a20,422.997,21.5019,62.9501,5.7879,0,,2021-06-21 00:25:23.029019
959653,d51f3181-9500-418f-8a98-6627fbc63a20,423.696,21.5019,62.8662,5.7879,0,,2021-06-21 00:25:57.016511
959658,d51f3181-9500-418f-8a98-6627fbc63a20,423.168,21.4725,62.7884,5.7879,0,,2021-06-21 00:27:22.537002
959662,d51f3181-9500-418f-8a98-6627fbc63a20,429.782,21.4885,62.8632,5.7879,0,,2021-06-21 00:28:30.539113
959663,d51f3181-9500-418f-8a98-6627fbc63a20,430.028,21.4591,63.0081,5.7879,0,,2021-06-21 00:28:47.499465
959666,d51f3181-9500-418f-8a98-6627fbc63a20,438.03,21.4591,63.0493,5.7879,0,,2021-06-21 00:29:39.016850
959674,d51f3181-9500-418f-8a98-6627fbc63a20,440.412,21.5446,62.175,5.26172,0,,2021-06-21 00:31:55.006860
959680,d51f3181-9500-418f-8a98-6627fbc63a20,424.102,21.5579,62.2391,5.7879,0,,2021-06-21 00:33:37.521528
959686,d51f3181-9500-418f-8a98-6627fbc63a20,419.573,21.5873,62.2131,5.7879,0,,2021-06-21 00:35:19.524987
959692,d51f3181-9500-418f-8a98-6627fbc63a20,417.027,21.5713,62.529,5.78767,0,,2021-06-21 00:37:02.014128
959693,d51f3181-9500-418f-8a98-6627fbc63a20,418.468,21.5713,62.6694,5.26172,0,,2021-06-21 00:37:19.001602
959695,d51f3181-9500-418f-8a98-6627fbc63a20,418.714,21.5873,62.7441,5.78767,0,,2021-06-21 00:37:52.976221
959696,d51f3181-9500-418f-8a98-6627fbc63a20,418.815,21.5579,62.6328,5.78767,0,,2021-06-21 00:38:09.998294
959704,d51f3181-9500-418f-8a98-6627fbc63a20,415.382,21.5019,62.442,5.26172,0,,2021-06-21 00:40:26.506761
959705,d51f3181-9500-418f-8a98-6627fbc63a20,416.312,21.5312,62.4786,5.7879,0,,2021-06-21 00:40:43.503030
959706,d51f3181-9500-418f-8a98-6627fbc63a20,416.502,21.5152,62.4557,6.31407,0,,2021-06-21 00:41:00.497767
959707,d51f3181-9500-418f-8a98-6627fbc63a20,416.759,21.4885,62.4603,5.26172,0,,2021-06-21 00:41:17.500086
959708,d51f3181-9500-418f-8a98-6627fbc63a20,416.744,21.4885,62.5244,5.26172,0,,2021-06-21 00:41:34.476780
959711,d51f3181-9500-418f-8a98-6627fbc63a20,418.427,21.4725,62.7121,5.26172,0,,2021-06-21 00:42:25.704445
959713,d51f3181-9500-418f-8a98-6627fbc63a20,418.95,21.4591,62.6892,5.26172,0,,2021-06-21 00:42:59.717068
959715,d51f3181-9500-418f-8a98-6627fbc63a20,419.065,21.4324,62.9074,5.26148,0,,2021-06-21 00:43:34.239211
959716,d51f3181-9500-418f-8a98-6627fbc63a20,419.394,21.4164,63.0325,5.26172,0,,2021-06-21 00:43:51.219602
959717,d51f3181-9500-418f-8a98-6627fbc63a20,419.684,21.4031,63.2202,5.78765,0,,2021-06-21 00:44:08.187266
959721,d51f3181-9500-418f-8a98-6627fbc63a20,420.642,21.4324,63.3011,5.26172,0,,2021-06-21 00:45:16.255868
959725,d51f3181-9500-418f-8a98-6627fbc63a20,422.522,21.3897,63.028,5.26172,0,,2021-06-21 00:46:24.528381
959729,d51f3181-9500-418f-8a98-6627fbc63a20,421.406,21.3737,62.6938,5.2615,0,,2021-06-21 00:47:32.474937
959734,d51f3181-9500-418f-8a98-6627fbc63a20,421.72,21.3336,62.7716,5.7879,0,,2021-06-21 00:48:58.081071
959735,d51f3181-9500-418f-8a98-6627fbc63a20,421.643,21.347,62.8265,5.26148,0,,2021-06-21 00:49:15.110768
959736,d51f3181-9500-418f-8a98-6627fbc63a20,420.527,21.347,62.7533,5.26172,0,,2021-06-21 00:49:32.091407
959737,d51f3181-9500-418f-8a98-6627fbc63a20,420.451,21.3336,62.6785,5.7879,0,,2021-06-21 00:49:49.084255
959741,d51f3181-9500-418f-8a98-6627fbc63a20,419.432,21.3336,62.7075,5.7879,0,,2021-06-21 00:50:57.090207
959742,d51f3181-9500-418f-8a98-6627fbc63a20,418.328,21.3176,62.5244,5.2615,0,,2021-06-21 00:51:14.115530
959743,d51f3181-9500-418f-8a98-6627fbc63a20,417.043,21.3336,62.4741,5.26172,0,,2021-06-21 00:51:31.116266
959745,d51f3181-9500-418f-8a98-6627fbc63a20,417.714,21.3336,62.4741,5.7879,0,,2021-06-21 00:52:05.575726
959746,d51f3181-9500-418f-8a98-6627fbc63a20,418.09,21.347,62.468,6.31407,0,,2021-06-21 00:52:22.568559
959751,d51f3181-9500-418f-8a98-6627fbc63a20,413.612,21.2909,62.4557,5.78765,0,,2021-06-21 00:53:48.004609
959756,d51f3181-9500-418f-8a98-6627fbc63a20,415.817,21.2749,62.7838,5.2615,0,,2021-06-21 00:55:13.019728
959757,d51f3181-9500-418f-8a98-6627fbc63a20,415.146,21.2909,62.7747,5.7879,0,,2021-06-21 00:55:29.977853
959764,d51f3181-9500-418f-8a98-6627fbc63a20,416.829,21.2615,62.6297,5.7879,0,,2021-06-21 00:57:29.514339
959768,d51f3181-9500-418f-8a98-6627fbc63a20,416.138,21.2455,62.7762,5.26148,0,,2021-06-21 00:58:37.599702
959774,d51f3181-9500-418f-8a98-6627fbc63a20,418.16,21.2028,62.941,5.7879,0,,2021-06-21 01:00:19.704521
959775,d51f3181-9500-418f-8a98-6627fbc63a20,417.627,21.2161,62.8891,5.7879,0,,2021-06-21 01:00:37.175366
959777,d51f3181-9500-418f-8a98-6627fbc63a20,418.384,21.2161,62.8479,5.26172,0,,2021-06-21 01:01:11.190659
959778,d51f3181-9500-418f-8a98-6627fbc63a20,418.603,21.2322,62.9227,5.7879,0,,2021-06-21 01:01:28.198613
959779,d51f3181-9500-418f-8a98-6627fbc63a20,417.601,21.2322,62.9028,5.7879,0,,2021-06-21 01:01:45.162058
959782,d51f3181-9500-418f-8a98-6627fbc63a20,416.692,21.2028,62.8113,5.26172,0,,2021-06-21 01:02:36.294307
959786,d51f3181-9500-418f-8a98-6627fbc63a20,415.993,21.2322,62.9227,5.78765,0,,2021-06-21 01:03:44.366984
959789,d51f3181-9500-418f-8a98-6627fbc63a20,415.765,21.2028,63.0035,5.26172,0,,2021-06-21 01:04:35.878330
959796,d51f3181-9500-418f-8a98-6627fbc63a20,423.896,21.1894,63.4888,5.7879,0,,2021-06-21 01:06:34.980131
959798,d51f3181-9500-418f-8a98-6627fbc63a20,425.247,21.2028,63.5544,5.78765,0,,2021-06-21 01:07:08.994185
959800,d51f3181-9500-418f-8a98-6627fbc63a20,427.541,21.2161,63.5681,5.26172,0,,2021-06-21 01:07:43.486600
959802,d51f3181-9500-418f-8a98-6627fbc63a20,429.397,21.2161,63.5574,5.26172,0,,2021-06-21 01:08:17.443080
959803,d51f3181-9500-418f-8a98-6627fbc63a20,429.659,21.2028,63.5666,6.31407,0,,2021-06-21 01:08:34.494263
959806,d51f3181-9500-418f-8a98-6627fbc63a20,430.487,21.2028,63.3972,6.31407,0,,2021-06-21 01:09:25.483204
959807,d51f3181-9500-418f-8a98-6627fbc63a20,430.13,21.2455,63.2782,5.7879,0,,2021-06-21 01:09:42.485460
959809,d51f3181-9500-418f-8a98-6627fbc63a20,428.904,21.2615,63.2919,5.78767,0,,2021-06-21 01:10:16.541357
959811,d51f3181-9500-418f-8a98-6627fbc63a20,428.335,21.2455,63.1378,5.26172,0,,2021-06-21 01:10:51.096500
959813,d51f3181-9500-418f-8a98-6627fbc63a20,429.833,21.2455,63.2233,5.26172,0,,2021-06-21 01:11:25.059552
959815,d51f3181-9500-418f-8a98-6627fbc63a20,431.558,21.2909,63.147,5.2615,0,,2021-06-21 01:11:59.042979
959816,d51f3181-9500-418f-8a98-6627fbc63a20,431.985,21.2749,63.0585,5.26172,0,,2021-06-21 01:12:16.065632
959817,d51f3181-9500-418f-8a98-6627fbc63a20,429.728,21.2749,62.9959,5.7879,0,,2021-06-21 01:12:33.100896
959818,d51f3181-9500-418f-8a98-6627fbc63a20,430.418,21.2909,63.0508,5.26172,0,,2021-06-21 01:12:50.125449
959825,d51f3181-9500-418f-8a98-6627fbc63a20,425.833,21.3043,63.1927,5.7879,0,,2021-06-21 01:14:49.786776
959829,d51f3181-9500-418f-8a98-6627fbc63a20,425.508,21.3043,63.3194,5.78765,0,,2021-06-21 01:15:57.771937
959835,d51f3181-9500-418f-8a98-6627fbc63a20,425.136,21.2749,63.6124,5.78765,0,,2021-06-21 01:17:39.780386
959836,d51f3181-9500-418f-8a98-6627fbc63a20,425.711,21.3043,63.4903,5.7879,0,,2021-06-21 01:17:57.308711
959838,d51f3181-9500-418f-8a98-6627fbc63a20,427.625,21.2615,63.5345,5.26148,0,,2021-06-21 01:18:31.269224
959840,d51f3181-9500-418f-8a98-6627fbc63a20,432.53,21.2749,63.6322,5.7879,0,,2021-06-21 01:19:05.243386
959843,d51f3181-9500-418f-8a98-6627fbc63a20,440.901,21.2615,63.5345,5.7879,0,,2021-06-21 01:19:56.254931
959848,d51f3181-9500-418f-8a98-6627fbc63a20,435.395,21.2615,63.3423,5.26148,0,,2021-06-21 01:21:21.571795
959849,d51f3181-9500-418f-8a98-6627fbc63a20,434.471,21.2749,63.2828,5.7879,0,,2021-06-21 01:21:38.585265
959852,d51f3181-9500-418f-8a98-6627fbc63a20,433.247,21.2615,63.4583,5.78765,0,,2021-06-21 01:22:29.556002
959853,d51f3181-9500-418f-8a98-6627fbc63a20,432.036,21.2455,63.4262,5.78765,0,,2021-06-21 01:22:47.082050
959854,d51f3181-9500-418f-8a98-6627fbc63a20,432.384,21.2749,63.4842,5.26172,0,,2021-06-21 01:23:04.133416
959861,d51f3181-9500-418f-8a98-6627fbc63a20,431.12,21.2322,63.3606,5.7879,0,,2021-06-21 01:25:03.134089
959867,d51f3181-9500-418f-8a98-6627fbc63a20,429.956,21.2615,63.2919,5.7879,0,,2021-06-21 01:26:45.243233
959870,d51f3181-9500-418f-8a98-6627fbc63a20,430.373,21.2322,63.4247,6.31384,0,,2021-06-21 01:27:36.735403
959872,d51f3181-9500-418f-8a98-6627fbc63a20,428.019,21.2322,63.3377,5.26172,0,,2021-06-21 01:28:10.748452
959877,d51f3181-9500-418f-8a98-6627fbc63a20,430.386,21.2322,63.4338,5.78767,0,,2021-06-21 01:29:35.839241
959878,d51f3181-9500-418f-8a98-6627fbc63a20,430.481,21.2455,63.3835,5.78765,0,,2021-06-21 01:29:52.842684
959883,d51f3181-9500-418f-8a98-6627fbc63a20,430.186,21.2161,63.6856,5.78767,0,,2021-06-21 01:31:14.255386
959888,d51f3181-9500-418f-8a98-6627fbc63a20,429.345,21.1894,63.5727,5.26172,0,,2021-06-21 01:32:39.242366
960292,d51f3181-9500-418f-8a98-6627fbc63a20,419.917,21.5446,63.5025,5.7879,0,,2021-06-21 03:27:34.362437
960296,d51f3181-9500-418f-8a98-6627fbc63a20,420.204,21.5713,63.559,5.26148,0,,2021-06-21 03:28:42.397876
960302,d51f3181-9500-418f-8a98-6627fbc63a20,418.108,21.5713,63.7512,5.2615,0,,2021-06-21 03:30:24.503922
960303,d51f3181-9500-418f-8a98-6627fbc63a20,417.168,21.5579,63.8016,5.26172,0,,2021-06-21 03:30:41.524933
960304,d51f3181-9500-418f-8a98-6627fbc63a20,418.245,21.6007,63.9282,5.78767,0,,2021-06-21 03:30:58.994281
960305,d51f3181-9500-418f-8a98-6627fbc63a20,418.848,21.5446,64.0762,5.26172,0,,2021-06-21 03:31:15.993180
960307,d51f3181-9500-418f-8a98-6627fbc63a20,419.085,21.5873,64.0335,5.2615,0,,2021-06-21 03:31:49.997452
960308,d51f3181-9500-418f-8a98-6627fbc63a20,416.962,21.5713,64.0167,5.7879,0,,2021-06-21 03:32:06.985516
960310,d51f3181-9500-418f-8a98-6627fbc63a20,419.051,21.5579,63.974,5.26172,0,,2021-06-21 03:32:41.018782
960316,d51f3181-9500-418f-8a98-6627fbc63a20,420.388,21.5312,63.8382,5.26172,0,,2021-06-21 03:34:23.181622
960319,d51f3181-9500-418f-8a98-6627fbc63a20,423.228,21.5579,63.9206,5.7879,0,,2021-06-21 03:35:14.649346
960334,d51f3181-9500-418f-8a98-6627fbc63a20,421.124,21.614,64.0472,5.78765,0,,2021-06-21 03:39:30.326178
960340,d51f3181-9500-418f-8a98-6627fbc63a20,419.064,21.5873,64.1174,5.7879,0,,2021-06-21 03:41:01.614075
960341,d51f3181-9500-418f-8a98-6627fbc63a20,420.35,21.6007,64.0854,5.7879,0,,2021-06-21 03:41:19.109758
960344,d51f3181-9500-418f-8a98-6627fbc63a20,421.421,21.5873,64.2548,5.78767,0,,2021-06-21 03:42:10.108828
960345,d51f3181-9500-418f-8a98-6627fbc63a20,421.068,21.5873,64.1998,5.26172,0,,2021-06-21 03:42:27.111940
960346,d51f3181-9500-418f-8a98-6627fbc63a20,421.964,21.5713,64.2502,5.26172,0,,2021-06-21 03:42:44.146507
960347,d51f3181-9500-418f-8a98-6627fbc63a20,421.795,21.5873,64.0213,5.26172,0,,2021-06-21 03:43:01.138234
960353,d51f3181-9500-418f-8a98-6627fbc63a20,418.915,21.5446,64.1205,5.78767,0,,2021-06-21 03:44:43.691573
960360,d51f3181-9500-418f-8a98-6627fbc63a20,421.767,21.5312,63.9145,5.26172,0,,2021-06-21 03:46:42.705963
960363,d51f3181-9500-418f-8a98-6627fbc63a20,423.964,21.5579,63.887,5.26172,0,,2021-06-21 03:47:34.246443
960371,d51f3181-9500-418f-8a98-6627fbc63a20,427.611,21.5873,63.8504,5.7879,0,,2021-06-21 03:49:50.358095
960375,d51f3181-9500-418f-8a98-6627fbc63a20,428.505,21.6007,63.8962,5.26148,0,,2021-06-21 03:50:58.831478
960377,d51f3181-9500-418f-8a98-6627fbc63a20,427.543,21.614,63.8885,5.78765,0,,2021-06-21 03:51:32.799639
960378,d51f3181-9500-418f-8a98-6627fbc63a20,425.185,21.6007,63.8962,5.26148,0,,2021-06-21 03:51:49.841299
960381,d51f3181-9500-418f-8a98-6627fbc63a20,421.306,21.614,63.9191,5.2615,0,,2021-06-21 03:52:40.802208
960389,d51f3181-9500-418f-8a98-6627fbc63a20,427.093,21.614,63.9099,5.7879,0,,2021-06-21 03:54:57.577142
960390,d51f3181-9500-418f-8a98-6627fbc63a20,427.431,21.614,63.8779,5.26148,0,,2021-06-21 03:55:14.643141
960391,d51f3181-9500-418f-8a98-6627fbc63a20,429.458,21.6434,63.8931,6.31407,0,,2021-06-21 03:55:31.624309
960392,d51f3181-9500-418f-8a98-6627fbc63a20,430.539,21.6434,63.9252,5.78767,0,,2021-06-21 03:55:48.615865
960394,d51f3181-9500-418f-8a98-6627fbc63a20,430.741,21.6567,63.8641,5.26172,0,,2021-06-21 03:56:22.612425
960396,d51f3181-9500-418f-8a98-6627fbc63a20,430.68,21.6701,63.8565,5.2615,0,,2021-06-21 03:56:56.609072
